Carrefour - Comet,1000 Island Dressing  250gms,2
Carrefour - Comet,Barbecue Sauce 400 gms,5
Carrefour - Comet,Barbecue Sauce 700gm,1
Carrefour - Comet,Barbecue Sauce Honey 700g,2
Carrefour - Comet,Barbecue Sauce Smoke 700g,2
Carrefour - Comet,Barbeque Sauce 1 KG,1
Carrefour - Comet,Barbeque Sauce Smoke 400g,2
Carrefour - Comet,Barbeque Sauce with Honey 400g,1
Carrefour - Comet,Basil Pesto 190g,3
Carrefour - Comet,Cheese Sauce,3
Carrefour - Comet,Chipotle Dressing 250gms,1
Carrefour - Comet,Choma sauce 400gms,1
Carrefour - Comet,Cool Ranch Dressing 250gms,4
Carrefour - Comet,Corriander Pesto 190g,5
Carrefour - Comet,Honey Mustard Dressing 250gms,1
Carrefour - Comet,Honey Premium Squeeze Bottle 500g,2
Carrefour - Comet,Honey Squeeze Bottle 300g,1
Carrefour - Comet,Hot Chilli Sauce 250g,1
Carrefour - Comet,Jalapenos 350g,2
Carrefour - Comet,Jalapenos Sliced 700 gms,1
Carrefour - Comet,Lasagna Sauce 330g,1
Carrefour - Comet,Lasagna Sauce 375g,2
Carrefour - Comet,Mango Chutney 360g,3
Carrefour - Comet,Mayo Ketchup Dressing 250gms,1
Carrefour - Comet,Mayonnaise 350g,2
Carrefour - Comet,Mayonnaise Premium Blend 350g,1
Carrefour - Comet,Mustard 250gms,4
Carrefour - Comet,Mustard dressing 250gms,1
Carrefour - Comet,Natural Honey 1 KG,5
Carrefour - Comet,Natural Honey 2kg,1
Carrefour - Comet,Natural Honey 500gms,2
Carrefour - Comet,Orange Marmalade 400 gms,2
Carrefour - Comet,Passion Fruit Jam 400g,1
Carrefour - Comet,Pasta Cheese,2
Carrefour - Comet,Pasta Sauce Basil 375g,4
Carrefour - Comet,Pasta Sauce Basil 530g,2
Carrefour - Comet,Pasta Sauce Garlic 375g,2
Carrefour - Comet,Pasta Sauce Garlic 530g,3
Carrefour - Comet,Pasta Sauce Hot,2
Carrefour - Comet,Pasta Sauce Mushroom 375gms,2
Carrefour - Comet,Pasta Sauce Regular 375g,3
Carrefour - Comet,Pasta Sauce Regular 530g,3
Carrefour - Comet,Pickled Gherkins 300 gm,2
Carrefour - Comet,Pickled Gherkins 700g,2
Carrefour - Comet,Pickled Gherkins Sliced 300g,2
Carrefour - Comet,Pickled Gherkins Sliced 700g,1
Carrefour - Comet,Pizza Sauce Hot 330g,2
Carrefour - Comet,Pizza Sauce Regular 330g,1
Carrefour - Comet,Premium Honey 300g,3
Carrefour - Comet,Rocket Pesto 190g,2
Carrefour - Comet,Salsa Kachumbari 400 gms,1
Carrefour - Comet,Spaghetti Bolognaise 375g,2
Carrefour - Comet,Spaghetti Sauce 375g,4
Carrefour - Comet,Strawberry Jam 400g,1
Carrefour - Comet,Sun Dried Tomatoes 285gms,2
Carrefour - Comet,Sundried Tomato Pesto 180g,3
Carrefour - Comet,Sundried Tomatoes in Oil 550gms,2
Carrefour - Comet,Sweet and Sticky Barbecue Sauce 700g,1
Carrefour - Comet,Sweet/Sticky Barbeque Sauce 400g,2
Carrefour - Comet,Teriyaki Dressing,1
Carrefour - Comet,Tomato Ketchup 400gms,4
Carrefour - Comet,Tomato Ketchup 700gms,4
Carrefour - Comet,Tomato Sauce 1kg,1
Carrefour - Comet,Tomato sauce 250g,2
Carrefour - Comet,Tomato sauce 400g,1
Carrefour - Comet,Tomato sauce 5kgs,2
Carrefour - Comet,Tomato sauce 700g,1
Carrefour - Comet,Vinaigrette Dressing,1
Carrefour - Comet,Vinaigrette Dressing 250gms,1
Carrefour - Diani,1000 Island Dressing  250gms,4
Carrefour - Diani,Ajvar Extra Hot 350gms,2
Carrefour - Diani,Asili Pishori Rice 1KG,5
Carrefour - Diani,Asili Pishori Rice 2KG,5
Carrefour - Diani,Barbecue Sauce 400 gms,5
Carrefour - Diani,Barbecue Sauce 700gm,3
Carrefour - Diani,Barbecue Sauce Honey 700g,3
Carrefour - Diani,Barbecue Sauce Smoke 700g,5
Carrefour - Diani,Barbeque Sauce 1 KG,4
Carrefour - Diani,Barbeque Sauce Smoke 400g,5
Carrefour - Diani,Barbeque Sauce with Honey 400g,5
Carrefour - Diani,Basil Pesto 180g,4
Carrefour - Diani,Basil Pesto 190g,5
Carrefour - Diani,Cheese Sauce,2
Carrefour - Diani,Chilli sauce 400gms,3
Carrefour - Diani,Chipotle Dressing 250gms,5
Carrefour - Diani,Choma sauce 400gms,3
Carrefour - Diani,Cool Ranch Dressing 250gms,5
Carrefour - Diani,Corriander Pesto 190g,5
Carrefour - Diani,Honey Mustard Dressing,5
Carrefour - Diani,Honey Mustard Dressing 250gms,5
Carrefour - Diani,Honey Premium Squeeze Bottle 500g,5
Carrefour - Diani,Honey Squeeze Bottle 300g,5
Carrefour - Diani,Honey Squeeze Bottle 500g,4
Carrefour - Diani,Hot Chilli Sauce 250g,5
Carrefour - Diani,Jalapenos 350g,4
Carrefour - Diani,Jalapenos Sliced 700 gms,4
Carrefour - Diani,Lasagna Sauce 330g,2
Carrefour - Diani,Lasagna Sauce 375g,1
Carrefour - Diani,Lino Spread Duo 350gms,2
Carrefour - Diani,Lino Spread Milk 350gms,2
Carrefour - Diani,Lino Spread Nougat 350g,2
Carrefour - Diani,Mango Chutney 360g,3
Carrefour - Diani,Mayo Ketchup Dressing 250gms,5
Carrefour - Diani,Mayonnaise 350g,5
Carrefour - Diani,Mayonnaise Premium Blend 350g,4
Carrefour - Diani,Mustard 250gms,5
Carrefour - Diani,Mustard dressing 250gms,5
Carrefour - Diani,Natural Honey 1 KG,5
Carrefour - Diani,Natural Honey 2kg,5
Carrefour - Diani,Natural Honey 300G,1
Carrefour - Diani,Natural Honey 500gms,5
Carrefour - Diani,Natural Honey SQZ 300G,5
Carrefour - Diani,Orange Marmalade 400 gms,3
Carrefour - Diani,Orange Poppy Marmalade 400g,1
Carrefour - Diani,Passion Fruit Chutney 360g,1
Carrefour - Diani,Passion Fruit Jam 400g,4
Carrefour - Diani,Passion Fruit Jam Sugar Free 400g,1
Carrefour - Diani,Pasta Cheese,5
Carrefour - Diani,Pasta Sauce Basil 330g,2
Carrefour - Diani,Pasta Sauce Basil 375g,5
Carrefour - Diani,Pasta Sauce Basil 530g,5
Carrefour - Diani,Pasta Sauce Garlic 330g,2
Carrefour - Diani,Pasta Sauce Garlic 375g,5
